term,partOfSpeech,meaning,exampleEn,exampleVi
proud of,adjective phrase,tự hào về,She is proud of her academic achievements.,Cô ấy tự hào về những thành tích học tập của mình.
familiar with,adjective phrase,quen thuộc với,I am familiar with the software used in the company.,Tôi đã quen thuộc với phần mềm được sử dụng ở công ty.
interested in,adjective phrase,hứng thú với,He is interested in learning foreign languages.,Anh ấy rất hứng thú với việc học ngoại ngữ.
good at,adjective phrase,giỏi về,She is exceptionally good at solving complex math problems.,Cô ấy đặc biệt giỏi về việc giải các bài toán phức tạp.
bad at,adjective phrase,kém về,I have always been bad at remembering names.,Tôi lúc nào cũng kém về khoản nhớ tên người khác.
afraid of,adjective phrase,sợ,Many children are afraid of the dark.,Nhiều đứa trẻ rất sợ bóng tối.
aware of,adjective phrase,nhận thức được,People need to be aware of the environmental issues.,Mọi người cần nhận thức được các vấn đề môi trường.
capable of,adjective phrase,có khả năng,She is capable of handling high-stress situations.,Cô ấy có khả năng xử lý các tình huống nhiều áp lực.
fond of,adjective phrase,yêu thích,My grandfather is very fond of classical music.,Ông tôi rất yêu thích âm nhạc cổ điển.
tired of,adjective phrase,chán/ngán,I am tired of listening to the same excuses.,Tôi đã quá chán ngán việc nghe những lời viện cớ tương tự.
worried about,adjective phrase,lo lắng về,Parents are often worried about their children's future.,Các bậc phụ huynh thường lo lắng về tương lai của con cái.
concerned about,adjective phrase,lo ngại về,Doctors are concerned about the spread of the virus.,Các bác sĩ lo ngại về sự lây lan của virus.
excited about,adjective phrase,hào hứng về,The students are excited about the upcoming field trip.,Các học sinh rất hào hứng về chuyến dã ngoại sắp tới.
nervous about,adjective phrase,hồi hộp/lo lắng về,He felt nervous about giving a speech in public.,Anh ấy cảm thấy hồi hộp về việc phát biểu trước đám đông.
serious about,adjective phrase,nghiêm túc về,You need to be serious about your career goals.,Bạn cần phải nghiêm túc về các mục tiêu sự nghiệp của mình.
curious about,adjective phrase,tò mò về,Children are naturally curious about the world around them.,Trẻ em vốn dĩ tò mò về thế giới xung quanh.
enthusiastic about,adjective phrase,hào hứng với,She is enthusiastic about joining the volunteer club.,Cô ấy rất hào hứng với việc tham gia câu lạc bộ tình nguyện.
optimistic about,adjective phrase,lạc quan về,Economists remain optimistic about economic growth.,Các nhà kinh tế học vẫn lạc quan về sự tăng trưởng kinh tế.
pessimistic about,adjective phrase,bi quan về,He has become pessimistic about finding a suitable job.,Anh ấy dần trở nên bi quan về việc tìm một công việc phù hợp.
upset about,adjective phrase,buồn/bực về,She was deeply upset about missing the flight.,Cô ấy vô cùng buồn bực về việc bị nhỡ chuyến bay.
happy with,adjective phrase,hài lòng với,The client was very happy with the final design.,Khách hàng rất hài lòng với bản thiết kế cuối cùng.
pleased with,adjective phrase,hài lòng với,The teacher was pleased with his test results.,Giáo viên rất hài lòng với kết quả bài thi của cậu ấy.
satisfied with,adjective phrase,hài lòng với,We are completely satisfied with the quality of service.,Chúng tôi hoàn toàn hài lòng với chất lượng dịch vụ.
disappointed with,adjective phrase,thất vọng với,Consumers were disappointed with the new product line.,Người tiêu dùng đã thất vọng với dòng sản phẩm mới.
impressed with,adjective phrase,ấn tượng với,The interviewers were impressed with her communication skills.,Các nhà tuyển dụng rất ấn tượng với kỹ năng giao tiếp của cô ấy.
comfortable with,adjective phrase,thoải mái với,Are you comfortable with working overtime occasionally?,Bạn có thoải mái với việc thỉnh thoảng làm thêm giờ không?
uncomfortable with,adjective phrase,không thoải mái với,He felt uncomfortable with sharing his personal details.,Anh ấy cảm thấy không thoải mái với việc chia sẻ thông tin cá nhân.
patient with,adjective phrase,kiên nhẫn với,Teachers need to be patient with slow learners.,Giáo viên cần kiên nhẫn với những học sinh tiếp thu chậm.
popular with,adjective phrase,được ưa chuộng bởi,This coffee brand is very popular with young professionals.,Thương hiệu cà phê này rất được ưa chuộng bởi giới trẻ đi làm.
honest with,adjective phrase,thành thật với,You should always be honest with your doctor.,Bạn nên luôn thành thật với bác sĩ của mình.
angry with,adjective phrase,tức giận với,She was angry with him for keeping secrets.,Cô ấy tức giận với anh vì đã giấu giếm điều bí mật.
annoyed with,adjective phrase,khó chịu với,I was annoyed with my roommate for playing loud music.,Tôi thấy khó chịu với bạn cùng phòng vì mở nhạc quá to.
friendly with,adjective phrase,thân thiện/thân thiết với,He made an effort to be friendly with his new neighbors.,Anh ấy nỗ lực thân thiện với những người hàng xóm mới.
generous with,adjective phrase,hào phóng với,She is always generous with her advice and support.,Cô ấy luôn hào phóng với những lời khuyên và sự giúp đỡ của mình.
strict with,adjective phrase,nghiêm khắc với,The coach is quite strict with the athletes regarding training.,Huấn luyện viên khá nghiêm khắc với các vận động viên về lịch tập luyện.
careful with,adjective phrase,cẩn thận với,You must be careful with sharp kitchen knives.,Bạn phải thật cẩn thận với những con dao sắc trong bếp.
good with,adjective phrase,khéo/giỏi khi xử lý,She is exceptionally good with children.,Cô ấy rất khéo khi chơi và chăm sóc trẻ con.
bad with,adjective phrase,không giỏi khi xử lý,He admits that he is very bad with managing finances.,Anh ấy thừa nhận mình không giỏi khi xử lý việc quản lý tài chính.
consistent with,adjective phrase,nhất quán với,The findings are consistent with previous research studies.,Các phát hiện hoàn toàn nhất quán với những nghiên cứu trước đây.
compatible with,adjective phrase,tương thích với,This new software update is compatible with older devices.,Bản cập nhật phần mềm mới này tương thích với các thiết bị đời cũ.
responsible for,adjective phrase,chịu trách nhiệm về,Who is responsible for organizing the charity event?,Ai là người chịu trách nhiệm về việc tổ chức sự kiện từ thiện?
famous for,adjective phrase,nổi tiếng về,Paris is famous for its historical architecture and art.,Paris nổi tiếng về kiến trúc lịch sử và nghệ thuật.
known for,adjective phrase,được biết đến vì,The region is known for producing high-grade tea.,Vùng đất này được biết đến vì sản xuất loại trà thượng hạng.
suitable for,adjective phrase,phù hợp với,This beginner course is suitable for learners of all ages.,Khóa học vỡ lòng này phù hợp với người học ở mọi lứa tuổi.
useful for,adjective phrase,hữu ích cho,Online tools are extremely useful for remote collaboration.,Các công cụ trực tuyến cực kỳ hữu ích cho việc cộng tác từ xa.
essential for,adjective phrase,thiết yếu cho,Daily exercise is essential for maintaining physical wellness.,Tập thể dục hàng ngày là điều thiết yếu cho việc duy trì thể lực.
important for,adjective phrase,quan trọng đối với,Adequate sleep is important for mental sharpness.,Giấc ngủ đầy đủ rất quan trọng đối với sự minh mẫn của trí não.
necessary for,adjective phrase,cần thiết cho,Proper documentation is necessary for visa approval.,Hồ sơ giấy tờ hợp lệ là điều cần thiết cho việc duyệt thị thực.
ready for,adjective phrase,sẵn sàng cho,The athletes are thoroughly ready for the upcoming tournament.,Các vận động viên đã hoàn toàn sẵn sàng cho giải đấu sắp tới.
prepared for,adjective phrase,chuẩn bị sẵn cho,We should be well prepared for any unexpected changes.,Chúng ta nên chuẩn bị sẵn cho bất kỳ thay đổi bất ngờ nào.
interested for,adjective phrase,quan tâm/hứng thú với,Investors were keen and interested for profitable opportunities.,Các nhà đầu tư rất quan tâm và hứng thú với những cơ hội sinh lời.
eligible for,adjective phrase,đủ điều kiện cho,Full-time employees are eligible for annual bonuses.,Nhân viên chính thức đủ điều kiện cho các khoản thưởng hàng năm.
grateful for,adjective phrase,biết ơn vì,I am truly grateful for your timely assistance.,Tôi thực sự biết ơn vì sự giúp đỡ kịp thời của bạn.
thankful for,adjective phrase,biết ơn vì,They were thankful for having a safe shelter.,Họ biết ơn vì có được một nơi trú ẩn an toàn.
sorry for,adjective phrase,xin lỗi/tiếc về,He felt deeply sorry for breaking her favorite vase.,Anh ấy cảm thấy rất có lỗi vì đã làm vỡ chiếc bình yêu thích của cô ấy.
eager for,adjective phrase,háo hức mong đợi,The fans were eager for the rock band's concert.,Người hâm mộ rất háo hức mong đợi buổi hòa nhạc của ban nhạc rock.
desperate for,adjective phrase,rất cần/khao khát,The drought-stricken farmers were desperate for rain.,Những người nông dân vùng hạn hán đang rất cần trời đổ mưa.
appropriate for,adjective phrase,phù hợp với,Casual wear is not appropriate for formal business meetings.,Trang phục thường ngày không phù hợp với các cuộc họp kinh doanh trang trọng.
beneficial for,adjective phrase,có lợi cho,Regular reading is proven to be beneficial for brain health.,Đọc sách thường xuyên được chứng minh là có lợi cho sức khỏe não bộ.
ideal for,adjective phrase,lý tưởng cho,This mild climate is ideal for growing strawberries.,Khí hậu ôn hòa này rất lý tưởng cho việc trồng dâu tây.
perfect for,adjective phrase,hoàn hảo cho,A weekend getaway is perfect for recharging your energy.,Một chuyến đi nghỉ cuối tuần là điều hoàn hảo cho việc nạp lại năng lượng.
harmful to,adjective phrase,có hại cho,Excessive sugar consumption is harmful to overall health.,Tiêu thụ quá nhiều đường rất có hại cho sức khỏe tổng thể.
important to,adjective phrase,quan trọng đối với,Family support is immensely important to my success.,Sự ủng hộ của gia đình là điều vô cùng quan trọng đối với thành công của tôi.
similar to,adjective phrase,tương tự với,Her writing style is quite similar to Hemingway's.,Phong cách viết của cô ấy khá tương tự với phong cách của Hemingway.
different from,adjective phrase,khác với,Living abroad is very different from traveling as a tourist.,Sống ở nước ngoài rất khác với việc đi du lịch như một du khách.
related to,adjective phrase,liên quan đến,Heart disease is often related to poor dietary habits.,Bệnh tim thường liên quan đến những thói quen ăn uống kém lành mạnh.
connected to,adjective phrase,có liên quan đến,The police suspect he is connected to the cyber crime.,Cảnh sát nghi ngờ anh ta có liên quan đến vụ tội phạm mạng.
addicted to,adjective phrase,nghiện/phụ thuộc vào,Many teenagers have become addicted to video games.,Nhiều bạn trẻ vị thành niên đã trở nên nghiện trò chơi điện tử.
accustomed to,adjective phrase,quen với,She quickly grew accustomed to the cold northern winters.,Cô ấy đã nhanh chóng quen với những mùa đông giá lạnh phương bắc.
used to,adjective phrase,quen với,He is used to waking up at five o'clock every morning.,Anh ấy đã quen với việc thức dậy lúc 5 giờ mỗi sáng.
committed to,adjective phrase,cam kết với,The company is firmly committed to reducing carbon emissions.,Công ty cam kết vững chắc với mục tiêu giảm lượng khí thải carbon.
dedicated to,adjective phrase,tận tâm/cống hiến cho,The doctor has dedicated his life to treating rare illnesses.,Vị bác sĩ đã cống hiến cả cuộc đời cho việc điều trị những căn bệnh hiếm.
opposed to,adjective phrase,phản đối,Local residents were strongly opposed to the factory project.,Cư dân địa phương đã kịch liệt phản đối dự án xây dựng nhà máy.
